seed,operation,condition,split,n,correct,accuracy,uniform_tie_expected_accuracy,tied_maximum_rows,positive_margin_rows,minimum_margin,mean_margin
0,addition,raw_lookup,training,3830,3830,1.0,1.0,0,3830,1.0,1.0
0,addition,raw_lookup,heldout,8939,79,0.008837677592571876,0.008849557522123894,8939,0,0.0,0.0
0,addition,raw_lookup,full_grid,12769,3909,0.30613203853081683,0.30614035513276416,8939,3830,0.0,0.29994517973216384
0,addition,complete_family_with_dc,training,3830,3830,1.0,1.0,0,3830,0.18584070796460178,0.3050717438018439
0,addition,complete_family_with_dc,heldout,8939,8939,1.0,1.0,0,8939,0.18584070796460178,0.2977486543504797
0,addition,complete_family_with_dc,full_grid,12769,12769,1.0,1.0,0,12769,0.18584070796460178,0.29994517973216384
0,addition,complete_family_without_dc,training,3830,3830,1.0,1.0,0,3830,0.18584070796460178,0.30401660189177976
0,addition,complete_family_without_dc,heldout,8939,8939,1.0,1.0,0,8939,0.18584070796460178,0.2967583185417552
0,addition,complete_family_without_dc,full_grid,12769,12769,1.0,1.0,0,12769,0.18584070796460178,0.29893540564572524
0,addition,training_donors_only,training,3830,3830,1.0,1.0,0,3830,1.0,1.0
0,addition,training_donors_only,heldout,8939,8939,1.0,1.0,0,8939,1.0,1.0
0,addition,training_donors_only,full_grid,12769,12769,1.0,1.0,0,12769,1.0,1.0
0,addition,heldout_donors_only,training,3830,34,0.008877284595300261,0.008849557522123892,3830,0,0.0,0.0
0,addition,heldout_donors_only,heldout,8939,79,0.008837677592571876,0.008849557522123894,8939,0,0.0,0.0
0,addition,heldout_donors_only,full_grid,12769,113,0.008849557522123894,0.008849557522123894,12769,0,0.0,0.0
0,addition,opposite_family_with_dc,training,3830,113,0.029503916449086162,0.029503916449086162,3830,0,0.0,0.0
0,addition,opposite_family_with_dc,heldout,8939,0,0.0,0.0,8939,0,-0.008849557522123894,-0.008849557522123894
0,addition,opposite_family_with_dc,full_grid,12769,113,0.008849557522123894,0.008849557522123894,12769,0,-0.008849557522123894,-0.00619517540060032
0,addition,permuted_orbit_labels_raw,training,3830,3830,1.0,1.0,0,3830,1.0,1.0
0,addition,permuted_orbit_labels_raw,heldout,8939,81,0.009061416265801543,0.008849557522123894,8939,0,0.0,0.0
0,addition,permuted_orbit_labels_raw,full_grid,12769,3911,0.3062886678674916,0.30614035513276416,8939,3830,0.0,0.29994517973216384
0,addition,permuted_orbit_labels_projected,training,3830,3830,1.0,1.0,0,3830,0.18584070796460178,0.3050717438018439
0,addition,permuted_orbit_labels_projected,heldout,8939,8939,1.0,1.0,0,8939,0.18584070796460178,0.2977486543504797
0,addition,permuted_orbit_labels_projected,full_grid,12769,12769,1.0,1.0,0,12769,0.18584070796460178,0.29994517973216384
1,addition,raw_lookup,training,3830,3830,1.0,1.0,0,3830,1.0,1.0
1,addition,raw_lookup,heldout,8939,68,0.007607114889808703,0.008849557522123894,8939,0,0.0,0.0
1,addition,raw_lookup,full_grid,12769,3898,0.30527057717910566,0.3061403551327641,8939,3830,0.0,0.29994517973216384
1,addition,complete_family_with_dc,training,3830,3830,1.0,1.0,0,3830,0.18584070796460178,0.3060283278264285
1,addition,complete_family_with_dc,heldout,8939,8939,1.0,1.0,0,8939,0.18584070796460178,0.2973387967809351
1,addition,complete_family_with_dc,full_grid,12769,12769,1.0,1.0,0,12769,0.18584070796460178,0.29994517973216384
1,addition,complete_family_without_dc,training,3830,3830,1.0,1.0,0,3830,0.18591902263293916,0.30496514997258983
1,addition,complete_family_without_dc,heldout,8939,8939,1.0,1.0,0,8939,0.18591902263293916,0.29635289404326753
1,addition,complete_family_without_dc,full_grid,12769,12769,1.0,1.0,0,12769,0.18591902263293916,0.29893609869588755
1,addition,training_donors_only,training,3830,3830,1.0,1.0,0,3830,1.0,1.0
1,addition,training_donors_only,heldout,8939,8939,1.0,1.0,0,8939,1.0,1.0
1,addition,training_donors_only,full_grid,12769,12769,1.0,1.0,0,12769,1.0,1.0
1,addition,heldout_donors_only,training,3830,45,0.01174934725848564,0.008849557522123892,3830,0,0.0,0.0
1,addition,heldout_donors_only,heldout,8939,68,0.007607114889808703,0.008849557522123894,8939,0,0.0,0.0
1,addition,heldout_donors_only,full_grid,12769,113,0.008849557522123894,0.008849557522123894,12769,0,0.0,0.0
1,addition,opposite_family_with_dc,training,3830,113,0.029503916449086162,0.02950391644908616,3830,0,0.0,0.0
1,addition,opposite_family_with_dc,heldout,8939,0,0.0,0.0,8939,0,-0.008849557522123894,-0.008849557522123894
1,addition,opposite_family_with_dc,full_grid,12769,113,0.008849557522123894,0.008849557522123894,12769,0,-0.008849557522123894,-0.00619517540060032
1,addition,permuted_orbit_labels_raw,training,3830,3830,1.0,1.0,0,3830,1.0,1.0
1,addition,permuted_orbit_labels_raw,heldout,8939,82,0.009173285602416377,0.008849557522123894,8939,0,0.0,0.0
1,addition,permuted_orbit_labels_raw,full_grid,12769,3912,0.30636698253582895,0.3061403551327641,8939,3830,0.0,0.29994517973216384
1,addition,permuted_orbit_labels_projected,training,3830,3830,1.0,1.0,0,3830,0.18584070796460178,0.3060283278264285
1,addition,permuted_orbit_labels_projected,heldout,8939,8939,1.0,1.0,0,8939,0.18584070796460178,0.2973387967809351
1,addition,permuted_orbit_labels_projected,full_grid,12769,12769,1.0,1.0,0,12769,0.18584070796460178,0.29994517973216384
2,addition,raw_lookup,training,3830,3830,1.0,1.0,0,3830,1.0,1.0
2,addition,raw_lookup,heldout,8939,79,0.008837677592571876,0.008849557522123894,8939,0,0.0,0.0
2,addition,raw_lookup,full_grid,12769,3909,0.30613203853081683,0.30614035513276416,8939,3830,0.0,0.29994517973216384
2,addition,complete_family_with_dc,training,3830,3830,1.0,1.0,0,3830,0.18584070796460178,0.3052750756718039
2,addition,complete_family_with_dc,heldout,8939,8939,1.0,1.0,0,8939,0.18584070796460178,0.29766153486709823
2,addition,complete_family_with_dc,full_grid,12769,12769,1.0,1.0,0,12769,0.18584070796460178,0.29994517973216384
2,addition,complete_family_without_dc,training,3830,3830,1.0,1.0,0,3830,0.18599733730127652,0.30421899316781204
2,addition,complete_family_without_dc,heldout,8939,8939,1.0,1.0,0,8939,0.18599733730127652,0.296673582053092
2,addition,complete_family_without_dc,full_grid,12769,12769,1.0,1.0,0,12769,0.18599733730127652,0.2989367917460498
2,addition,training_donors_only,training,3830,3830,1.0,1.0,0,3830,1.0,1.0
2,addition,training_donors_only,heldout,8939,8939,1.0,1.0,0,8939,1.0,1.0
2,addition,training_donors_only,full_grid,12769,12769,1.0,1.0,0,12769,1.0,1.0
2,addition,heldout_donors_only,training,3830,34,0.008877284595300261,0.008849557522123892,3830,0,0.0,0.0
2,addition,heldout_donors_only,heldout,8939,79,0.008837677592571876,0.008849557522123894,8939,0,0.0,0.0
