step,objective,train_accuracy,test_loss,test_accuracy,grok_confirmed,joint_failure,elapsed_seconds
0,5.164484977722168,0.009399477806788513,5.183222770690918,0.00839020024611254,False,False,0.0820072500500828
10,4.5210957527160645,0.03289817232375979,,,False,False,0.5993062921334058
20,4.1067047119140625,0.06344647519582246,,,False,False,1.17602612497285
30,3.548630475997925,0.13054830287206268,,,False,False,1.772944499971345
40,2.778550386428833,0.2859007832898172,,,False,False,2.4016570830717683
50,1.89964759349823,0.5569190600522194,,,False,False,3.013051833026111
60,0.827774167060852,0.8830287206266318,,,False,False,3.581139875110239
70,0.14588670432567596,0.9945169712793733,,,False,False,4.203898000065237
80,0.01039797905832529,1.0,,,False,False,4.81178233306855
90,0.0010725001338869333,1.0,,,False,False,5.329801958054304
100,0.0002430954045848921,1.0,41.79164123535156,0.00022373867322966775,False,False,5.811711082933471
110,0.004648667294532061,0.9989556135770234,,,False,False,6.407544125104323
120,0.05856546759605408,0.9861618798955614,,,False,False,7.06889387499541
130,0.01987922191619873,0.9997389033942559,,,False,False,7.606938417069614
140,0.012492649257183075,0.9989556135770234,,,False,False,8.308241083053872
150,0.005191388539969921,1.0,,,False,False,9.007438082946464
160,0.002555430866777897,1.0,,,False,False,9.524392375024036
170,0.007771731354296207,0.9984334203655353,,,False,False,9.992033458082005
180,0.0047751255333423615,0.9986945169712794,,,False,False,10.512562457937747
190,0.00554134463891387,0.9992167101827676,,,False,False,11.073029916966334
200,0.009114116430282593,0.9984334203655353,51.971073150634766,0.0006712160196890032,False,False,11.670411207946017
210,0.003548625623807311,0.9994778067885117,,,False,False,12.198897457914427
220,0.011617525480687618,0.9973890339425587,,,False,False,12.704445000039414
230,0.004102852661162615,0.9989556135770234,,,False,False,13.177621208131313
240,0.005925917066633701,0.9994778067885117,,,False,False,13.717802917119116
250,0.003648454090580344,0.9992167101827676,,,False,False,14.250424958067015
260,0.0036979448050260544,0.9997389033942559,,,False,False,14.870920582907274
270,0.0012743262341246009,1.0,,,False,False,15.366093582939357
280,0.0005274876020848751,1.0,,,False,False,15.864841250004247
290,0.00021676660981029272,1.0,,,False,False,16.519646832952276
300,9.481635061092675e-05,1.0,57.669002532958984,0.001006824029533505,False,False,17.301556375110522
310,0.00130407081451267,0.9994778067885117,,,False,False,17.816861500032246
320,0.008857947774231434,0.9992167101827676,,,False,False,18.453724707942456
330,0.0033107593189924955,1.0,,,False,False,19.154267207952216
340,0.0017727763624861836,1.0,,,False,False,19.710204500006512
350,0.0010156265925616026,1.0,,,False,False,20.255310792010278
360,0.0010507483966648579,0.9997389033942559,,,False,False,20.885131708113477
370,0.005317694507539272,0.9997389033942559,,,False,False,21.495521541917697
380,0.0017283497145399451,0.9997389033942559,,,False,False,22.233571750111878
390,0.0009416248649358749,1.0,,,False,False,22.9261711249128
400,0.0005705681978724897,1.0,53.68099594116211,0.0006712160196890032,False,False,23.564140875125304
410,0.0009261873201467097,1.0,,,False,False,24.23830608301796
420,0.005216963589191437,0.9997389033942559,,,False,False,24.883836792083457
430,0.0005509924376383424,1.0,,,False,False,25.44351829192601
440,0.010756703093647957,0.9984334203655353,,,False,False,26.07886500004679
450,0.0029587317258119583,0.9997389033942559,,,False,False,26.803207708057016
460,0.0003525151696521789,1.0,,,False,False,27.449011832941324
470,0.0004366582725197077,1.0,,,False,False,28.01732616708614
480,0.00020180361752863973,1.0,,,False,False,28.59099558298476
490,9.718748333398253e-05,1.0,,,False,False,29.081806791946292
500,4.908171104034409e-05,1.0,57.941673278808594,0.0005593466830741693,False,False,29.806068958016112
510,0.0002528858894947916,1.0,,,False,False,30.35873749991879
520,0.0013041477650403976,0.9997389033942559,,,False,False,31.00269674998708
530,0.001688532647676766,0.9994778067885117,,,False,False,31.57894558296539
540,0.0014248709194362164,1.0,,,False,False,32.20910429209471
550,0.0008128635818138719,1.0,,,False,False,32.82522058300674
560,0.0013017227174714208,0.9997389033942559,,,False,False,33.37842341698706
570,0.00031542155193164945,1.0,,,False,False,34.035601374926046
580,0.000308364222291857,1.0,,,False,False,34.587790958117694
590,0.00018502598686609417,1.0,,,False,False,35.17432691692375
600,9.277954086428508e-05,1.0,50.874752044677734,0.000894954692918671,False,False,35.82648037513718
610,4.402172635309398e-05,1.0,,,False,False,36.45725870807655
620,1.972059180843644e-05,1.0,,,False,False,37.00659741694108
630,8.86854249984026e-05,1.0,,,False,False,37.56917616701685
640,0.0001738828286761418,1.0,,,False,False,38.127294125035405
650,0.00039863065467216074,0.9997389033942559,,,False,False,38.68916237493977
660,8.446531865047291e-05,1.0,,,False,False,39.37121604196727
670,4.197246380499564e-05,1.0,,,False,False,39.977210792014375
680,2.055320146610029e-05,1.0,,,False,False,40.484848249936476
690,9.613601832825225e-06,1.0,,,False,False,41.005148000083864
700,1.3231520824774634e-05,1.0,62.6436767578125,0.0013424320393780065,False,False,41.80684437509626
710,4.9872684030560777e-05,1.0,,,False,False,42.55283045792021
720,0.0004754666588269174,0.9997389033942559,,,False,False,43.28057416691445
730,0.00023329236137215048,1.0,,,False,False,43.799820125103
740,0.0006430322537198663,0.9997389033942559,,,False,False,44.309388667112216
750,0.00010805148485815153,1.0,,,False,False,45.057306749979034
760,5.5883403547341004e-05,1.0,,,False,False,45.77452045795508
770,2.674779898370616e-05,1.0,,,False,False,46.30755037511699
780,1.235678337252466e-05,1.0,,,False,False,46.8858894999139
790,5.657171186612686e-06,1.0,,,False,False,47.535697374958545
800,2.625793968036305e-06,1.0,60.488616943359375,0.0014543013759928405,False,False,48.071261417120695
810,1.1750993280656985e-06,1.0,,,False,False,48.55749966693111
820,0.004861267749220133,0.9997389033942559,,,False,False,49.06989608309232
830,0.0006922202883288264,1.0,,,False,False,49.6121866251342
840,0.0003693627950269729,1.0,,,False,False,50.283782333135605
850,0.00020676908025052398,1.0,,,False,False,50.938189500011504
860,0.00013116099580656737,1.0,,,False,False,51.498544292058796
870,6.576169835170731e-05,1.0,,,False,False,52.082481832941994
